Date,Game #,Game Type,Player, Net 
4/18/2026,15,PLO,Shiv, $ (200.00)
4/18/2026,15,PLO,Egg, $ (300.00)
4/18/2026,16,PLO,Andrew," $ 1,467.39 "
4/18/2026,16,PLO,YN," $ 1,079.50 "
4/18/2026,16,PLO,Egg," $ 1,037.24 "
4/18/2026,16,PLO,Colin, $ 891.10 
4/18/2026,16,PLO,RichardZ, $ 647.69 
4/18/2026,16,PLO,KQ, $ 610.38 
4/18/2026,16,PLO,Ww, $ 400.85 
4/18/2026,16,PLO,Shiv, $ 368.50 
4/18/2026,16,PLO,PaulB, $ 324.86 
4/18/2026,16,PLO,Mikul, $ 281.62 
4/18/2026,16,PLO,Ena, $ 278.37 
4/18/2026,16,PLO,SamC, $ 163.00 
4/18/2026,16,PLO,Sanjay, $ (300.00)
4/18/2026,16,PLO,SamZ, $ (500.00)
4/18/2026,16,PLO,Rach, $ (636.50)
4/18/2026,16,PLO,AHH," $ (1,114.00)"
4/18/2026,16,PLO,Hiro," $ (5,000.00)"
4/19/2026,17,PLO,Ww, $ 189.50 
4/19/2026,17,PLO,Rach, $ 2.50 
4/19/2026,17,PLO,Young, $ (18.76)
4/19/2026,17,PLO,bigslickenergy, $ (173.24)
4/19/2026,18,PLO,Andrew," $ 3,186.14 "
4/19/2026,18,PLO,Elaine, $ 870.75 
4/19/2026,18,PLO,Egg, $ 525.66 
4/19/2026,18,PLO,Zheng, $ 293.50 
4/19/2026,18,PLO,YN, $ 246.50 
4/19/2026,18,PLO,Mikul, $ 68.50 
4/19/2026,18,PLO,Hu, $ 66.50 
4/19/2026,18,PLO,KQ, $ 25.00 
4/19/2026,18,PLO,Tarek, $ 7.00 
4/19/2026,18,PLO,Shiv, $ (231.04)
4/19/2026,18,PLO,SamC, $ (311.76)
4/19/2026,18,PLO,Lucki, $ (600.00)
4/19/2026,18,PLO,Colin, $ (600.00)
4/19/2026,18,PLO,Hiro," $ (3,546.75)"
4/19/2026,19,NL,Arjun, $ 200.82 
4/19/2026,19,NL,Saswoot, $ 188.49 
4/19/2026,19,NL,JH, $ 102.47 
4/19/2026,19,NL,HY, $ 89.81 
4/19/2026,19,NL,Jamie, $ 86.46 
4/19/2026,19,NL,bigslickenergy, $ 85.46 
4/19/2026,19,NL,Colin, $ 25.59 
4/19/2026,19,NL,Shiv, $ 22.37 
4/19/2026,19,NL,Young, $ (122.65)
4/19/2026,19,NL,GB, $ (200.12)
4/19/2026,19,NL,Rach, $ (225.00)
4/19/2026,19,NL,Uz, $ (253.70)
4/20/2026,20,PLO,Zheng, $ 184.50 
4/20/2026,20,PLO,SamC, $ 141.00 
4/20/2026,20,PLO,Jesse, $ 99.75 
4/20/2026,20,PLO,Sanjay, $ 80.50 
4/20/2026,20,PLO,Young, $ 60.12 
4/20/2026,20,PLO,bigslickenergy, $ 48.80 
4/20/2026,20,PLO,Mikul, $ 15.00 
4/20/2026,20,PLO,YN, $ 12.50 
4/20/2026,20,PLO,Lucki, $ 12.38 
4/20/2026,20,PLO,Shiv, $ 2.50 
4/20/2026,20,PLO,Ww, $ (46.73)
4/20/2026,20,PLO,JJ, $ (76.10)
4/20/2026,20,PLO,Colin, $ (104.96)
4/20/2026,20,PLO,Andrew, $ (196.76)
4/20/2026,20,PLO,Rach, $ (232.50)
4/20/2026,21,PLO,Andrew," $ 4,374.81 "
4/20/2026,21,PLO,Ww, $ 681.75 
4/20/2026,21,PLO,Young, $ 588.34 
4/20/2026,21,PLO,Zheng, $ 332.59 
4/20/2026,21,PLO,AHH, $ 302.00 
4/20/2026,21,PLO,Neal, $ 99.00 
4/20/2026,21,PLO,Egg, $ 50.58 
4/20/2026,21,PLO,SamC, $ 30.00 
4/20/2026,21,PLO,Albert, $ - 
4/20/2026,21,PLO,Mikul, $ (280.00)
4/20/2026,21,PLO,Rach, $ (340.16)
4/20/2026,21,PLO,YN, $ (800.00)
4/20/2026,21,PLO,KQ, $ (813.17)
4/20/2026,21,PLO,Lucki," $ (1,125.74)"
4/20/2026,21,PLO,Shiv," $ (1,400.00)"
4/20/2026,21,PLO,Tarek," $ (1,700.00)"
4/20/2026,22,NL,Jamie, $ 177.88 
4/20/2026,22,NL,RichardG, $ 151.95 
4/20/2026,22,NL,AHH, $ 131.00 
4/20/2026,22,NL,Arjun, $ 100.13 
4/20/2026,22,NL,Elaine, $ 75.00 
4/20/2026,22,NL,bigslickenergy, $ 52.87 
4/20/2026,22,NL,Colin, $ 47.25 
4/20/2026,22,NL,YN, $ 41.00 
4/20/2026,22,NL,Sanjay, $ 24.00 
4/20/2026,22,NL,JH, $ 8.93 
4/20/2026,22,NL,GB, $ 3.26 
4/20/2026,22,NL,JJ, $ (35.77)
4/20/2026,22,NL,Uz, $ (206.46)
4/20/2026,22,NL,Saswoot, $ (280.54)
4/20/2026,22,NL,Ww, $ (290.50)
4/21/2026,23,NL,Rach, $ 331.14 
4/21/2026,23,NL,Young, $ 163.36 
4/21/2026,23,NL,RichardZ, $ 10.00 
4/21/2026,23,NL,HY, $ - 
4/21/2026,23,NL,Ww, $ (61.69)
4/21/2026,23,NL,Mikul, $ (75.06)
4/21/2026,23,NL,Zheng, $ (367.75)
4/21/2026,24,PLO,Neal, $ 218.75 
4/21/2026,24,PLO,Young, $ 175.86 
4/21/2026,24,PLO,bigslickenergy, $ 72.00 
4/21/2026,24,PLO,Mc, $ 58.75 
4/21/2026,24,PLO,Sanjay, $ 34.75 
4/21/2026,24,PLO,Ww, $ (45.86)
4/21/2026,24,PLO,Zheng, $ (100.00)
4/21/2026,24,PLO,SamC, $ (414.25)
4/21/2026,25,PLO,Egg, $ 515.00 
4/21/2026,25,PLO,SamC, $ 366.34 
4/21/2026,25,PLO,Will X, $ 253.50 
4/21/2026,25,PLO,Young, $ 251.24 
4/21/2026,25,PLO,Rach, $ 191.00 
4/21/2026,25,PLO,Ena, $ 71.24 
4/21/2026,25,PLO,Sanjay, $ 66.75 
4/21/2026,25,PLO,YN, $ 18.00 
4/21/2026,25,PLO,Mikul, $ 3.58 
4/21/2026,25,PLO,Hu, $ (38.00)
4/21/2026,25,PLO,AHH, $ (315.59)
4/21/2026,25,PLO,Tarek, $ (400.00)
4/21/2026,25,PLO,Andrew, $ (402.94)
4/21/2026,25,PLO,Ww, $ (580.12)
4/21/2026,26,NL,GB, $ 371.53 
4/21/2026,26,NL,Rach, $ 227.13 
4/21/2026,26,NL,SamC, $ 117.75 
4/21/2026,26,NL,Jesse, $ 101.34 
4/21/2026,26,NL,RichardG, $ 94.98 
4/21/2026,26,NL,Heezy, $ 80.61 
4/21/2026,26,NL,Elaine, $ 74.56 
4/21/2026,26,NL,Egg, $ 71.82 
4/21/2026,26,NL,YN, $ 60.75 
4/21/2026,26,NL,SamZ, $ 43.81 
4/21/2026,26,NL,Tarek, $ 40.16 
4/21/2026,26,NL,HY, $ 17.24 
4/21/2026,26,NL,Andrew, $ 16.15 
4/21/2026,26,NL,Uz, $ 11.92 
4/21/2026,26,NL,Hu, $ 8.00 
4/21/2026,26,NL,Sanjay, $ (98.19)
4/21/2026,26,NL,Jamie, $ (103.50)
4/21/2026,26,NL,Colin, $ (132.29)
4/21/2026,26,NL,JH, $ (157.23)
4/21/2026,26,NL,Arjun, $ (200.00)
4/21/2026,26,NL,Will X, $ (206.82)
4/21/2026,26,NL,Saswoot, $ (211.32)
4/21/2026,26,NL,AHH, $ (228.40)
4/22/2026,27,PLO,Young, $ 264.14 
4/22/2026,27,PLO,Egg, $ 125.50 
4/22/2026,27,PLO,Alai, $ 115.00 
4/22/2026,27,PLO,SamC, $ 41.69 
4/22/2026,27,PLO,bigslickenergy, $ 24.99 
4/22/2026,27,PLO,Ww, $ 12.83 
4/22/2026,27,PLO,Sanjay, $ (9.50)
4/22/2026,27,PLO,Sasha, $ (200.00)
4/22/2026,27,PLO,Ena, $ (374.65)
4/22/2026,28,PLO,Andrew," $ 1,038.81 "
4/22/2026,28,PLO,PaulB, $ 925.76 
4/22/2026,28,PLO,Egg, $ 871.02 
4/22/2026,28,PLO,AHH, $ 771.25 
4/22/2026,28,PLO,Ena, $ 625.00 
